rank,city,country,batch,html_file,before_score,before_grade,after_score,after_grade,score_change,before_word_count,after_word_count,before_avg_sentence_words,after_avg_sentence_words,before_long_sentence_percent,after_long_sentence_percent,before_internal_links,after_internal_links,before_external_links,after_external_links,before_emoji_count,after_emoji_count,issues_found,fixes_applied,remaining_review_flags,old_seo_title,new_seo_title,new_meta_description,primary_keyword
11,Karachi,Pakistan,01,011-matcha-maya-karachi-coworking-customer-journey.html,78,Fair,100,Excellent,22,1237,1653,14.9,12.8,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Karachi: A Coworking Customer Journey at Kickstart Karachi,Coworking Space in Karachi: MATCHA MAYA's Journey,"Explore a researched coworking space in Karachi with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Karachi
12,Mumbai,India,01,012-matcha-maya-mumbai-coworking-customer-journey.html,78,Fair,100,Excellent,22,1232,1648,14.6,12.9,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Mumbai: A Coworking Customer Journey at WeWork Lightbridge,Coworking Space in Mumbai: MATCHA MAYA's Journey,"Explore a researched coworking space in Mumbai with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Mumbai
13,São Paulo,Brazil,01,013-matcha-maya-sao-paulo-coworking-customer-journey.html,78,Fair,100,Excellent,22,1225,1639,14.4,12.5,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in São Paulo: A Coworking Customer Journey at Cubo Itaú,Coworking Space in São Paulo: MATCHA MAYA's Journey,"Explore a researched coworking space in São Paulo with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in São Paulo
14,Bangkok,Thailand,01,014-matcha-maya-bangkok-coworking-customer-journey.html,78,Fair,100,Excellent,22,1230,1651,14.6,12.8,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Bangkok: A Coworking Customer Journey at the Hive Thonglor,Coworking Space in Bangkok: MATCHA MAYA's Journey,"Explore a researched coworking space in Bangkok with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Bangkok
15,Mexico City,Mexico,01,015-matcha-maya-mexico-city-coworking-customer-journey.html,73,Fair,100,Excellent,27,1233,1654,14.8,12.7,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; meta; opening_keyword; template_voice; title,emoji; heading_keyword; meta; opening_keyword; template_voice; title,none,MATCHA MAYA in Mexico City: A Coworking Customer Journey at WeWork Reforma Latino,Coworking Space in Mexico City: MATCHA MAYA's Journey,"Explore a researched coworking space in Mexico City with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Mexico City
16,Beijing,China,01,016-matcha-maya-beijing-coworking-customer-journey.html,73,Fair,100,Excellent,27,1231,1662,14.4,12.6,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; meta; opening_keyword; template_voice; title,emoji; heading_keyword; meta; opening_keyword; template_voice; title,none,MATCHA MAYA in Beijing: A Coworking Customer Journey at Spaces Global Trade Centre,Coworking Space in Beijing: MATCHA MAYA's Journey,"Explore a researched coworking space in Beijing with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Beijing
17,Lahore,Pakistan,01,017-matcha-maya-lahore-coworking-customer-journey.html,78,Fair,100,Excellent,22,1233,1656,14.0,12.4,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Lahore: A Coworking Customer Journey at Kickstart M.M. Alam Road,Coworking Space in Lahore: MATCHA MAYA's Journey,"Explore a researched coworking space in Lahore with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Lahore
18,Istanbul,Türkiye,01,018-matcha-maya-istanbul-coworking-customer-journey.html,78,Fair,100,Excellent,22,1230,1647,14.4,12.7,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Istanbul: A Coworking Customer Journey at Kolektif House,Coworking Space in Istanbul: MATCHA MAYA's Journey,"Explore a researched coworking space in Istanbul with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Istanbul
19,Moscow,Russia,01,019-matcha-maya-moscow-coworking-customer-journey.html,84,Good,100,Excellent,16,1218,1626,14.6,12.6,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice,emoji; heading_keyword; opening_keyword; template_voice,none,MATCHA MAYA in Moscow: A Coworking Customer Journey at SOK,Coworking Space in Moscow: MATCHA MAYA's Journey,"Explore a researched coworking space in Moscow with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Moscow
20,Ho Chi Minh City,Vietnam,01,020-matcha-maya-ho-chi-minh-city-coworking-customer-journey.html,78,Fair,100,Excellent,22,1261,1682,14.8,12.9,0.0,0.0,6,6,2,2,1,15,emoji; heading_keyword; opening_keyword; template_voice; title,emoji; heading_keyword; opening_keyword; template_voice; title,none,MATCHA MAYA in Ho Chi Minh City: A Coworking Customer Journey at Dreamplex,Coworking Space in Ho Chi Minh City: MATCHA MAYA's Journey,"Explore a researched coworking space in Ho Chi Minh City with MATCHA MAYA: one focused workday, a local matcha ritual, practical checks, and an honest verdict.",coworking space in Ho Chi Minh City
